id,domain,source,excerpt_path,facts,summary_b1,notes
astro_002,astronomy,"Wikipedia","raw/astronomy/black_holes.txt","A black hole has gravity so strong that nothing can escape.||The boundary is called the event horizon.||At the center lies a singularity of infinite density.||They form from remnants of massive stars.||Supermassive black holes exist at galactic centers.","A black hole is a place in space where gravity pulls so hard that even light cannot get out.","Advanced Astro."
fin_001,finance,"Investopedia","raw/finance/compound_interest.txt","Compound interest is calculated on principal and accumulated interest.||It is often called 'interest on interest.'||Frequency of compounding affects the final amount.||It allows savings to grow exponentially.||The 'Rule of 72' estimates doubling time.","Compound interest is earning money on your interest. It makes savings grow very fast over time.","Finance."
biz_001,business,"Wikipedia","raw/business/swot.txt","SWOT stands for Strengths, Weaknesses, Opportunities, and Threats.||Strengths and Weaknesses are internal factors.||Opportunities and Threats are external factors.||It is a strategic planning tool.||The goal is to match capabilities to the environment.","SWOT is a tool to plan a business by looking at what you are good at and what could hurt you.","Business."
mus_001,music,"Wikipedia","raw/music/rhythm_meter.txt","Rhythm is the placement of sounds in time.||Meter is the regular pattern of beats.||Common time (4/4) is most frequent in the West.||Syncopation involves accents on unexpected beats.||Tempo determines the speed of the pulse.","Rhythm is the beat of the music. Tempo is how fast it goes. Syncopation is a surprise beat.","Music Theory."
med_001,medicine,"Wikipedia","raw/medicine/immune_system.txt","The immune system protects organisms from diseases.||It distinguishes 'self' from 'non-self'.||Innate immunity is the first line of defense.||Adaptive immunity creates 'memory' using B and T cells.||Autoimmune diseases occur when the system attacks the body.","The immune system is your body's army that fights germs. It remembers germs so you don't get sick twice.","Medicine."
gov_001,government,"National Archives","raw/government/separation_powers.txt","Separation of powers divides government into three branches.||The goal is to prevent any one branch from becoming too powerful.||Legislative makes laws; Executive enforces; Judicial interprets.||This is known as Checks and Balances.||It was central to the U.S. Constitution.","Separation of powers means splitting government into three teams so no one has all the power.","Civics."
eng_001,engineering,"Wikipedia","raw/engineering/simple_machines.txt","Simple machines change the direction or magnitude of force.||The six machines are lever, wheel, pulley, plane, wedge, screw.||Mechanical advantage is the ratio of output to input force.||They follow the law of conservation of energy.||They redistribute work rather than creating energy.","Simple machines are tools like levers that make work easier. They help you lift heavy things with less effort.","Engineering."
eth_001,ethics,"Wikipedia","raw/ethics/utilitarianism.txt","Utilitarianism advocates actions that foster happiness.||It is summarized as 'the greatest good for the greatest number.'||It was developed by Bentham and Mill.||It is a form of consequentialism.||Criticisms include ignoring individual rights.","Utilitarianism says the right thing to do is whatever makes the most people happy.","Ethics."
bio_002,biology,"Wikipedia","raw/biology/cell_division.txt","Mitosis results in two identical daughter cells.||Meiosis results in four genetically diverse haploid cells.||The cell cycle includes interphase and the mitotic phase.||DNA replication occurs during the S phase.||Errors in cell division can lead to mutations or cancer.","Cells divide to grow or make new life. Mitosis makes copies, while meiosis makes unique cells for babies.","Cell Bio."
geo_002,geography,"Wikipedia","raw/geography/water_cycle.txt","The water cycle is the continuous movement of water on Earth.||Key stages are evaporation, condensation, and precipitation.||Transpiration is water release from plants.||Most of Earth's water is stored in oceans.||The sun provides the energy that drives the cycle.","Water moves from the ground to the sky and back. The sun turns water into clouds that make rain.","Eco Systems."
cs_002,computer_science,"Wikipedia","raw/computer_science/algorithms.txt","An algorithm is a step-by-step procedure for solving a problem.||Common types include sorting, searching, and graph algorithms.||Efficiency is measured using Big O notation.||Recursion is when a function calls itself.||Algorithms are the basis for all software and AI.","An algorithm is like a recipe for a computer to solve a problem. Efficiency is how fast the recipe works.","CS Algorithms."
